"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2404765,P.CtYBR inv. 5595,"Document (?), Ptolemaic",egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405661,P.CtYBR inv. 5216,Uncertain genre,,,"1997a"
archives.yale.edu/repositories/11/archival_objects/2401981,P.CtYBR inv. 2886,Document,egy,Egyptian (Ancient),"1965a"
archives.yale.edu/repositories/11/archival_objects/2405380,P.CtYBR inv. 4602,"Petition, Ptolemaic",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2401815,P.CtYBR inv. 2547,Document,egy,Egyptian (Ancient),"1965a"
archives.yale.edu/repositories/11/archival_objects/2405300,P.CtYBR inv. 4724,"Document, Byzantine (?)",grc,"Greek, Ancient (to 1453)","1996a"
archives.yale.edu/repositories/11/archival_objects/2403700,P.CtYBR inv. 3969,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404282,P.CtYBR inv. 4574,"Document, Roman",grc,"Greek, Ancient (to 1453)","1992b"
archives.yale.edu/repositories/11/archival_objects/2402216,P.CtYBR inv. 3279,Document (?),grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2401604,P.CtYBR inv. 2048(A),Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2400817,P.CtYBR inv. 1291(A),"Account, Roman CE ii [CBW]",grc,"Greek, Ancient (to 1453)","1931c"
archives.yale.edu/repositories/11/archival_objects/2400404,P.CtYBR inv. 1021(A),"Letter, Roman",grc,"Greek, Ancient (to 1453)","1931b"
archives.yale.edu/repositories/11/archival_objects/2405990,P.CtYBR inv. 5485 (A-E),"Document (?), Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2400077,P.CtYBR inv. 744(B),"Account, Ptolemaic-Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2403636,P.CtYBR inv. 3911,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404157,P.CtYBR inv. 4421,Document,cop,Coptic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2404568,P.CtYBR inv. 5303,"Document (?), Medieval",ara,Arabic,"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2401254,P.CtYBR inv. 1624 qua,"Receipt, Roman CE 203, Jan 25",grc,"Greek, Ancient (to 1453)","1935"
archives.yale.edu/repositories/11/archival_objects/2399583,P.CtYBR inv. 326,"Document, Roman CE 138-220 [RD]",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2402017,P.CtYBR inv. 3107,"Literary work (?), Document (?)",grc,"Greek, Ancient (to 1453)","1965a"
archives.yale.edu/repositories/11/archival_objects/2403492,P.CtYBR inv. 2736(B),"Document, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2400164,P.CtYBR inv. 826(A),"Document, Ptolemaic-Roman (?)",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2405511,P.CtYBR inv. 5051,Document (?),cop,Coptic,"1997a"
archives.yale.edu/repositories/11/archival_objects/2401336,P.CtYBR inv. 3578,Document,cop,Coptic,"1993a"
archives.yale.edu/repositories/11/archival_objects/2400076,P.CtYBR inv. 744(A),"Receipt, Ptolemaic-Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2400017,P.CtYBR inv. 692(B),"Account, Roman",grc,"Greek, Ancient (to 1453)","1931a"
archives.yale.edu/repositories/11/archival_objects/2403702,P.CtYBR inv. 3971,"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405782,P.CtYBR inv. 5282 (A-E),"Uncertain genre, Roman",grc,"Greek, Ancient (to 1453)",
archives.yale.edu/repositories/11/archival_objects/2402885,P.CtYBR inv. 2239,"Literary work (?), Pharaonic BCE ca. 1085-950 [BB]",egy,Egyptian (Ancient),"1945"
