filepath,filename,uri
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1315_s01_b001_f00A3,ms_1315_s01_b001_f00A3,/repositories/12/archival_objects/1209181
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0593_s04_b654,ms_0593_s04_b654,/repositories/12/archival_objects/1371363
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0569_s02_b066_f1251,ms_0569_s02_b066_f1251,/repositories/12/archival_objects/1392687
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1439_s01_b005_f0093,ms_1439_s01_b005_f0093,/repositories/12/archival_objects/1250138
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0136,ms_0554_s05_b009_f0136,/repositories/12/archival_objects/1238490
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0137,ms_0554_s05_b009_f0137,/repositories/12/archival_objects/1238491
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0138,ms_0554_s05_b009_f0138,/repositories/12/archival_objects/1238492
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0139,ms_0554_s05_b009_f0139,/repositories/12/archival_objects/1238493
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0140,ms_0554_s05_b009_f0140,/repositories/12/archival_objects/1238494
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0554_s05_b009_f0141,ms_0554_s05_b009_f0141,/repositories/12/archival_objects/1238495
