uri,original,update,info
/repositories/12/archival_objects/1201421,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1205501,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1208599,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1210249,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1214721,['(3 boxes)'],['3 boxes'],200
/repositories/12/archival_objects/1222675,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1222686,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1222751,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1236230,"['(5 boxes, 1 folio)']","['5 boxes, 1 folio']",200
/repositories/12/archival_objects/1236508,['(4 boxes)'],['4 boxes'],200
/repositories/12/archival_objects/1238691,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1243916,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1244243,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1245409,['(5 boxes)'],['5 boxes'],200
/repositories/12/archival_objects/1245684,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1258725,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1259957,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1273777,['(5 boxes)'],['5 boxes'],200
/repositories/12/archival_objects/1278189,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1278208,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1286105,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1292113,['(1 envelope)'],['1 envelope'],200
/repositories/12/archival_objects/1296247,['(1 envelope)'],['1 envelope'],200
/repositories/12/archival_objects/1319007,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1319012,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1353948,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1399041,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1479255,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1498978,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1572283,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1954140,['(3 boxes)'],['3 boxes'],200
/repositories/12/archival_objects/1954345,['(8 boxes)'],['8 boxes'],200
/repositories/12/archival_objects/1954494,['(7 boxes)'],['7 boxes'],200
/repositories/12/archival_objects/1954549,['(9 boxes)'],['9 boxes'],200
/repositories/12/archival_objects/1954647,['(6 boxes)'],['6 boxes'],200
/repositories/12/archival_objects/1954686,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1980890,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1996195,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1996212,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/2031947,['(32 boxes)'],['32 boxes'],200
/repositories/12/archival_objects/2104442,['(1 envelope)'],['1 envelope'],200
/repositories/12/archival_objects/2106107,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1540468,['(3 boxes)'],['3 boxes'],200
/repositories/12/archival_objects/2114134,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/2114138,['(1 envelope)'],['1 envelope'],200
/repositories/11/archival_objects/2119527,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/2119526,['(5 boxes)'],['5 boxes'],200
/repositories/11/archival_objects/2119531,['(4 boxes)'],['4 boxes'],200
/repositories/11/archival_objects/2119532,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2119530,['(5 boxes)'],['5 boxes'],200
/repositories/11/archival_objects/2119529,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2119528,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/1536890,['(12 boxes)'],['12 boxes'],200
/repositories/12/archival_objects/1872540,['(2 boxes)'],['2 boxes'],200
/repositories/12/archival_objects/1273016,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2185934,['(15 boxes)'],['15 boxes'],200
/repositories/11/archival_objects/273821,['(4 boxes)'],['4 boxes'],200
/repositories/12/archival_objects/790708,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/790710,['(1 box)'],['1 box'],200
/repositories/12/archival_objects/790709,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2190380,['(5 boxes) + 8 art'],['5 boxes + 8 art'],200
/repositories/11/archival_objects/2190376,['(6 boxes)'],['6 boxes'],200
/repositories/11/archival_objects/2190377,['(10 boxes)'],['10 boxes'],200
/repositories/11/archival_objects/2284864,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2284887,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2284893,['(3 folders)'],['3 folders'],200
